participant_id,age,gender,occupation,daily_usage_hours,night_usage_hours,app_switch_frequency,notification_check_frequency,short_video_consumption_rate,average_session_duration,dopamine_trigger_score,emotional_dependency_score,social_validation_dependency,impulsive_usage_score,emotional_instability_score,cognitive_fatigue_score,loneliness_indicator_score,anxiety_level,attention_fragmentation_index,concentration_score,multitasking_dependency,content_switching_rate,attention_span_estimate,sleep_hours,sleep_disruption_score,fatigue_after_usage,morning_tiredness_score,preferred_content_type,negativity_exposure_score,overstimulation_index,rage_content_exposure,emotional_trigger_sensitivity,behavioral_text,sentiment_score,toxicity_score,emotional_tone,addiction_risk_level,behavioral_risk_score,algorithmic_influence_score,digital_behavioral_risk_index
P0218,18,Female,Freelancer,8.7,2,47,101,4.9,81.8,9.8,11.2,5.3,4.3,8.4,3.4,3.6,9.1,7,2.8,9.6,6.7,3.1,4.7,7.2,7.6,9.4,News,5,8.7,5.7,3.2,I constantly switch between apps during study time.,-0.81,0.83,Stressed,High,87.8,7.6,84.6
P0219,18,Other,Creator,4.8,3.1,23,78,6.4,104.6,6.8,7.9,7.5,7.9,9.7,7.6,7.6,1.1,5,5.8,2.3,1.6,5.1,6.6,4.1,6.4,7.3,News,5.6,6,4.8,7.2,I occasionally lose track of time online.,0.65,0.46,Neutral,Moderate,59.6,5.8,57.8
P0220,16,Other,College Student,7.2,0.2,55,38,6.5,48.5,4.4,5.7,6.3,6.8,8.1,5,6,1.7,5.9,3.6,3,8,4.6,5.4,6.8,3.1,4.3,Reels,9.2,5.2,4.1,3.1,I use social media for entertainment daily.,0.84,0.52,Excited,Moderate,56,6,52.1
P0221,16,Female,Freelancer,11.2,2,14,118,1.4,59.9,8.5,9.3,5.6,2.5,5.6,2.3,7.4,6.8,8.3,2.2,3.9,8.4,1.2,3.4,7.3,8.3,9.3,Memes,8.5,8.8,3.7,1.4,I cannot stop scrolling reels late at night.,0.62,0.31,Restless,High,84.4,7.4,76.9
P0222,31,Male,Freelancer,3.2,1.5,22,86,8.2,105.1,1.2,2.2,5,7.8,9.9,3.1,6.2,8.8,2.5,6.8,8.2,9.8,7.4,7.4,1.3,2.5,3.8,Shorts,4.9,2.6,3.9,7.6,I rarely spend too much time online.,0.8,0.85,Neutral,Low,19.6,3.8,32.6
P0223,16,Male,College Student,6.5,3.6,22,20,3.1,91.2,5.5,6.2,7.4,8.8,2.7,2.6,2,4.2,5.4,5.1,5.8,8.1,4.5,5.8,5.8,7.7,5.6,Memes,2.2,5.6,3.3,4,I occasionally lose track of time online.,0.34,0.17,Excited,Moderate,57,5.1,53
P0224,20,Male,Creator,1.4,0.6,14,67,6.9,13.5,1.9,3,6.2,3.7,3,7.4,6.1,1.6,1.7,9,7.5,4.7,8.8,8.3,2.5,3.3,10,Memes,2.9,2.5,5.4,3.3,I can control my screen usage effectively.,0.93,0.27,Calm,Low,23.2,3,30.9
P0225,20,Female,Creator,7.5,4.8,5,63,4.1,78.3,5.4,5.5,8.7,7,4.8,5.1,3.4,2.6,4.7,4.7,5.9,9.2,5.4,5.2,5.7,2.7,2.5,Lifestyle,4.1,5.2,6.8,4.9,I occasionally lose track of time online.,0.29,0.88,Excited,Moderate,53,5.4,51.3
P0226,32,Male,Employee,3.1,2.7,30,128,5.7,7.6,1.8,3.3,5.9,5.1,8.9,6.3,4,1.9,1.4,7.8,6.3,5.9,9.1,7.5,1.6,6.3,5.6,Memes,5,2,6.6,8.7,I use social media casually.,-0.46,0.28,Neutral,Low,20.2,3,27.5
P0227,22,Other,Student,6.7,6,21,76,1.9,26.6,5.5,6.9,6.2,2.9,8.3,3.2,2,1.3,5.7,3.7,8,4.9,5,5.7,4.1,4.4,2.8,Lifestyle,7.3,6,6.8,1.7,I sometimes get distracted while studying.,-0.62,0.8,Excited,Moderate,56.4,5,49
P0228,34,Female,Freelancer,5.3,0.3,49,38,4.5,61,5.7,6.3,5.6,9,9.1,3.3,5.1,7.6,5.7,4.3,6,7.6,4.1,6.3,5.2,6.9,1.7,News,7.7,5.7,3.8,9.3,I spend a moderate amount of time on social media.,-0.28,0.16,Excited,Moderate,57.2,5.3,59.2
P0229,17,Male,Creator,11.5,11.4,23,95,1.2,108.9,9.7,10.7,1.6,3.4,3.8,8.5,4.8,6.4,7.5,2.9,8.1,5.4,2.8,3.2,7.1,5.8,4.3,Lifestyle,7.7,9.4,8.3,9.1,I feel anxious without checking my notifications.,-0.7,0.89,Anxious,High,88.8,7.5,88.9
P0230,21,Other,Employee,8.3,5.3,36,13,2.6,73,9.2,9.2,6.8,7.7,6.5,7.3,8,3.8,8.4,1.2,1.6,7,1.7,4.8,7.5,5.5,8.2,Shorts,6.1,9.7,2.4,4,I feel anxious without checking my notifications.,-0.32,0.81,Stressed,High,88,7.1,82.6
P0231,30,Male,Student,1.8,0.8,23,33,6.8,114.6,1.5,2.8,7.3,8.6,4.8,3.9,5.9,8.8,1.3,9.5,2.1,8,8.9,8.1,2.1,9.2,8.1,News,6,1.5,1.1,2.3,I rarely spend too much time online.,-0.62,0.13,Calm,Low,18.4,2.9,32.8
P0232,32,Female,Creator,10,4.7,27,127,2.2,69.4,8.7,9.9,3.9,1.6,7.5,6.9,5.7,5,7.2,3,9.9,8.6,3.6,4,8.1,4.9,4.7,Gaming,3.4,8.5,4.9,3.1,I constantly switch between apps during study time.,-0.59,0.64,Stressed,High,84.8,7,81.4
P0233,19,Other,Employee,4.5,2.1,54,23,3.2,33.5,4.6,4.9,1.3,3.1,3.7,5.2,1.3,8.9,5.6,3.6,7.1,9.7,5.2,6.8,5.4,7.9,6.6,Memes,8.6,6,4.6,3.4,I sometimes get distracted while studying.,0.77,0.98,Neutral,Moderate,53,4.5,60.9
P0234,31,Other,Freelancer,3.9,0.7,40,133,9.1,117.8,2.4,3.1,7.3,3.8,2.5,2.6,5.6,1.3,1.8,8.4,4.2,3.4,8.9,7,1.1,5,2,Gaming,8.6,2.2,8,2.6,I rarely spend too much time online.,0.45,0.26,Calm,Low,21.2,4.3,21.8
P0235,20,Other,Creator,11,1.4,59,66,9.3,36.8,8.1,9.4,6.9,2.1,5.5,9.4,8.9,5.5,8.7,1,7.9,6.3,2.2,3.5,9.9,7.6,7.1,News,9.8,9.3,3.2,3,I feel anxious without checking my notifications.,0.2,0.18,Restless,High,90.8,9.3,90.4
P0236,34,Other,Student,6.6,2.6,24,143,4.2,84.4,4.8,5.3,3,3.5,1.7,7.9,1.8,3.3,5.5,5.2,1.4,5.2,4.3,5.7,4,2.2,2.5,Reels,2.8,5.6,5.3,9.1,I spend a moderate amount of time on social media.,-0.36,0.56,Neutral,Moderate,50.4,5.3,54.6
P0237,26,Male,Freelancer,7.5,2.4,6,23,6.8,107.3,5.1,7,9.5,3.6,7.7,1.7,3.7,9.4,4.3,5,10,7.5,4.9,5.2,6.7,6.2,5.6,Shorts,9.8,5,4.2,6.2,I spend a moderate amount of time on social media.,0.72,0.12,Excited,Moderate,56.2,5.9,58.8
P0238,16,Female,College Student,9.4,8,56,26,1.6,46.3,8,9.9,9.7,8.5,5.8,2,3.6,9,7,2.2,9.4,4.6,2.8,4.3,8.5,5.8,2.9,Gaming,1.2,8.2,3.7,3.8,I cannot stop scrolling reels late at night.,0.49,0.58,Restless,High,83.2,6.5,78.9
P0239,31,Male,College Student,6.6,0.5,47,104,6.6,6.6,6.3,7.7,5.8,6.3,2.8,7.9,9.5,2.3,5.1,4.7,3.6,7,4,5.7,4.4,6.9,8.9,News,1.9,6.5,3.7,9.8,I sometimes get distracted while studying.,-0.39,0.53,Excited,Moderate,60,6.2,60.3
P0240,22,Male,Creator,11.5,5.4,35,38,2.3,34,8.5,10.4,7.3,8.7,1.7,7.1,8.8,2.9,8.5,2.1,9.5,9.4,1.3,3.2,8.1,1.5,6.6,Lifestyle,1.8,8.5,2.8,3.1,I feel mentally tired after social media usage.,-0.53,0.42,Anxious,High,88,7.7,81
P0241,30,Female,Creator,2,0.1,30,52,4.8,114.3,2.8,2.9,3.5,1.9,8.4,5.3,7,8.8,1.5,7.6,7.2,2.9,8.8,8,1.1,1.9,3.8,Shorts,7.3,2.4,3.1,1.3,I use social media casually.,-0.47,0.48,Neutral,Low,21.4,2.8,37.2
P0242,30,Other,Student,7.7,6,25,62,1.9,74.3,5.2,5.6,3.1,3.7,5.9,9.7,3.7,4.7,5.1,4.5,5.9,6.8,5.6,5.2,7,3.1,7.2,Lifestyle,1.5,6,9.1,5.8,I sometimes get distracted while studying.,0.23,0.41,Excited,Moderate,57.8,5,64.9
P0243,32,Other,Employee,3.7,2.4,17,127,4.7,97.3,2.4,3.8,4.4,2.9,8.5,4.1,7,7,2.9,6.4,8.4,5.2,7,7.2,1.5,3.2,3.2,News,1.9,3.2,7.2,6,I mainly use YouTube for learning.,0.98,0.75,Neutral,Low,27.6,3.4,37.3
P0244,24,Other,Employee,9.5,2.7,8,82,8.7,25.6,8.6,10.5,1.5,6.5,9.1,7.8,9.1,1.7,8.1,1.8,9,7.3,2.7,4.2,7.4,8.9,6.9,Shorts,2.7,8.6,9.3,6.5,I feel mentally tired after social media usage.,0.01,0.61,Stressed,High,86.4,8.7,79.1
P0245,29,Other,College Student,11.3,10.2,9,89,9.3,89.2,9.9,10.2,9.6,9.2,5.8,5.2,1.4,7.5,7.4,3.3,6.4,3.9,1.9,3.3,9.1,1.1,2.3,Memes,8.2,8.8,8,7,I constantly switch between apps during study time.,-0.57,0.22,Restless,High,90.8,9.5,87.1
P0246,26,Other,Student,5.7,3.2,9,141,8.9,88.7,4.7,5.4,3.8,6.6,8,9.4,7.9,9.3,5.5,5,2,6.4,4.7,6.2,6.1,7.2,7.8,News,9.7,5.6,5.7,1.6,I sometimes get distracted while studying.,-0.65,0.41,Excited,Moderate,54.6,6.2,69
P0247,17,Other,Student,4.1,1.2,31,134,1.7,111,4.7,6.5,1.3,6.6,3.3,3.4,4.6,5.3,4.6,6,9.6,9.9,5,7,6,5.3,3.4,Memes,5.9,5.2,6.5,4.1,I occasionally lose track of time online.,0.49,0.96,Neutral,Moderate,54,3.8,53.5
P0248,34,Other,Employee,8.8,5.7,53,69,8.5,9.5,9.2,9.5,6.5,7,1.7,8.9,8.8,8.7,7.2,2.5,9.4,2.4,3.6,4.6,7.3,4.2,1.8,Memes,6.1,8.7,7.1,6.5,I cannot stop scrolling reels late at night.,-0.74,0.14,Stressed,High,83.8,8.4,89.2
P0249,27,Female,Freelancer,9.9,5.5,51,79,6.4,75.6,8.5,10.1,3.3,10,7.4,5.4,6.6,4.4,9.2,1.3,8.9,9,0.5,4,9.4,6,1.9,Memes,2.6,9.6,4.8,4.2,I feel mentally tired after social media usage.,0.45,0.77,Restless,High,93.6,8.5,84.9
P0250,35,Other,Student,4.9,1.3,9,137,3.1,101.9,6.7,8.1,9,8.3,7.3,5.5,8.4,4,5.8,3.7,5.9,4.7,4.5,6.5,6.5,9.1,3.8,Educational,4.6,6.7,8.8,7.8,I spend a moderate amount of time on social media.,0.17,0.48,Neutral,Moderate,67.6,5.1,65
P0251,31,Male,Student,1.7,0.1,54,110,2.7,112.7,1,1.7,9.8,1.4,5.4,1.8,4.3,8.8,1.8,8.5,6.6,6.3,8.7,8.2,1.8,3.5,2.4,News,2.4,1.5,3.4,3.5,I mainly use YouTube for learning.,0.53,0.7,Calm,Low,15.6,1.8,27.6
P0252,20,Other,Freelancer,7.5,2.3,51,31,7.1,116.5,4.8,5.6,4.4,5.6,4.8,2.5,9.8,1.3,6.8,4,8.9,6.6,3.6,5.2,5.1,8.7,9.3,News,8.9,6.5,4.3,1.3,I use social media for entertainment daily.,0.88,0.88,Neutral,Moderate,57.6,6.5,48.9
P0253,23,Female,Student,1.4,1.3,47,135,5.9,21.3,2.8,4,5.8,7.5,9.8,5,4.7,3.7,2.7,8.1,2.9,4.9,6.4,8.3,1.9,3.3,8,News,5,3.2,7.1,6.2,I can control my screen usage effectively.,0.09,0.26,Neutral,Low,29.2,3.2,35
P0254,31,Male,Creator,2.2,1,20,145,6,7.9,2.3,4,8.7,5.2,1.1,6.4,8.1,2.3,1.9,8.6,3.7,9.2,8.4,7.9,2.5,6.5,3.2,Reels,2.4,2.8,3.3,8.8,I mainly use YouTube for learning.,-0.15,0.82,Calm,Low,27,3.1,33.3
P0255,21,Other,Student,11,9,47,121,7.6,119.5,9.7,10.2,6.9,5.5,6.4,8.2,9.5,3.6,9.7,-0.1,1.2,9.7,0.1,3.5,8.5,7.8,10,Educational,5.2,10.4,3.1,3.7,I feel mentally tired after social media usage.,0.23,0.79,Anxious,High,97,9.5,90.4
P0256,21,Female,Employee,9,6.2,15,83,6.1,109.8,9.9,10.5,7.3,3.1,6.3,5,5.6,1.9,8,2.5,7.9,9.9,1.8,4.5,7.4,3.6,1.7,Memes,6,9.1,6.4,1.3,I feel anxious without checking my notifications.,-0.67,0.78,Restless,High,89.8,8.2,77.7
P0257,29,Other,Employee,3.5,2,31,43,9.5,29.8,1.4,2.2,4.4,4.3,3.5,6.5,2.8,3,2.1,8.1,1.2,3.3,7.1,7.2,1.9,5.2,5.6,Shorts,2,2.4,8.4,5.6,I use social media casually.,-0.09,0.76,Calm,Low,20,4.1,29.2
P0258,33,Other,Freelancer,9.5,1.5,24,43,1.5,62.8,9.4,9.4,4.8,9.2,2.2,4.6,5.7,2.3,9.2,1.6,8.4,2.6,0.3,4.2,7.8,1.5,2.9,News,6.9,9.9,7,4.6,I spend hours watching shorts without realizing time.,-0.07,0.52,Restless,High,91.4,7.4,78.9
P0259,29,Other,College Student,5.3,5.3,18,12,6.8,25,5.1,6.3,7.6,8.2,7.1,7.7,6.8,2.4,6.4,3,4.8,5.3,3.1,6.3,4.8,8.7,3.4,Shorts,1,6.7,8.7,4.8,I sometimes get distracted while studying.,0.12,0.96,Excited,Moderate,58.6,5.9,59.1
P0260,27,Male,College Student,5.8,1.3,30,79,9,27.6,5,6.4,2.2,7.1,5.5,6.5,5,1.2,6.2,4.8,8.9,3.8,2.8,6.1,6.2,1.8,7.8,Lifestyle,5.1,5.8,7.8,9.1,I use social media for entertainment daily.,-0.39,0.97,Excited,Moderate,59.2,6.5,55.9
P0261,24,Female,Freelancer,7.6,0.3,12,120,2.1,48.3,7,8,4.5,9.2,1.7,7,2.4,9.9,5.3,5.4,9.5,5.7,4.7,5.2,4.5,4.8,4.5,Shorts,5.8,6.6,1.5,9.3,I occasionally lose track of time online.,0.7,0.33,Excited,Moderate,62.8,5.5,72.4
P0262,24,Female,Student,8.5,6.8,53,41,7.8,5.9,9.8,11,3.6,2.9,4.6,7.9,5,1.7,7.9,1.2,6.5,8.7,3,4.8,9.6,9.4,5.1,Memes,7.2,8.9,1.7,8.3,I feel mentally tired after social media usage.,-0.74,0.69,Anxious,High,94.4,8.5,85.2
P0263,32,Female,Student,9.3,6.9,10,18,4.1,51.2,9,9.5,3.6,5.9,3.2,5.7,2.2,9.6,8.6,0.9,4.4,6.1,2.4,4.3,8.9,2.5,9.6,Memes,7.3,9.1,2.8,1.3,I feel mentally tired after social media usage.,0.8,0.87,Restless,High,90.2,7.8,90.6
P0264,20,Female,College Student,10.7,10.1,34,25,8.1,5.7,8.5,9,5.5,7.3,6.4,4.4,7.7,6.6,7.2,3.7,4.4,1.1,2.4,3.7,8.2,7.3,9.4,Gaming,1.5,8.7,7.2,4.8,I feel anxious without checking my notifications.,0.95,0.38,Restless,High,83.2,8.6,78.9
P0265,22,Female,College Student,6.4,5.7,13,98,4.5,96.8,5,7,6.9,3.8,5.5,7.8,2.8,4,4.1,5.5,9.6,6.2,5.2,5.8,4.8,4.6,1.3,Memes,5.6,5.5,7.7,5.2,I use social media for entertainment daily.,0.25,0.34,Neutral,Moderate,52.8,5,57.3
P0266,24,Female,Freelancer,9.1,3,57,69,3.1,100,9.5,10.8,8.9,6,1.1,2.4,2.8,4.6,9.9,0.9,9.2,5.3,0.2,4.5,9.6,3.5,1.3,Gaming,1.9,10.6,6.9,1,I cannot stop scrolling reels late at night.,-0.08,0.7,Stressed,High,100.8,7.9,86.1
P0267,30,Male,College Student,3.5,1.5,49,66,9.7,91.2,2.7,4.4,1.5,3.1,9.3,9.5,4.8,8.4,1.9,7.5,3.3,6.2,8,7.2,2.3,3.6,2.8,Lifestyle,8.6,3.3,1.8,7.6,I use social media casually.,0.54,0.81,Neutral,Low,29.2,4.4,48.8
P0268,17,Female,Freelancer,4.9,0.4,6,150,6,23.1,5.7,6.2,8.7,2.4,1.1,2.4,8.2,8.4,6.3,2.9,3.9,8.5,4.2,6.5,6.6,6.8,8.6,Lifestyle,1.4,6.6,1.9,1.9,I sometimes get distracted while studying.,-0.05,0.62,Excited,Moderate,62.8,5.7,63.3
P0269,33,Female,Student,4.4,1.1,49,13,4.9,101.8,4.1,6.1,6.5,9,4.5,9.2,6.2,9.3,6.5,2.7,3.9,6.7,3.7,6.8,4.2,7.5,5.9,Educational,3.9,5.8,2.4,2.2,I occasionally lose track of time online.,0.39,0.31,Excited,Moderate,53.4,5,67.8
P0270,19,Male,Employee,10,7.9,39,127,8.5,113.6,9.9,10.6,8.5,6.5,2.5,9.1,3.8,1.5,7.7,2.6,7.9,7.8,2.7,4,9.8,5.3,2.1,News,1.6,8.9,1.7,7.5,I cannot stop scrolling reels late at night.,-0.99,0.47,Stressed,High,93.8,9,86.2
P0271,29,Male,Freelancer,2,1.1,40,65,6.8,93.6,1.5,3.2,5.4,8.5,5,9.8,5.8,6.1,2.8,7.6,2,8.7,7.6,8,2.8,7.5,9.4,Reels,1.6,2.7,8.5,6.1,I mainly use YouTube for learning.,-0.64,0.59,Neutral,Low,26,3.3,43.3
P0272,20,Other,Freelancer,2.2,1.7,37,131,8.9,37.8,1.7,2.8,3.4,1.5,1.8,6.1,2.4,3.5,1.3,8.5,4.5,9,8.4,7.9,2.3,4.8,1.8,Shorts,5.9,1.7,9.9,4.3,I can control my screen usage effectively.,-0.95,0.59,Calm,Low,19.6,3.5,29.1
P0273,18,Male,Student,2.7,2.1,7,57,9,63.8,1.6,3.2,3.7,3.6,4.5,1.1,3.8,3,1.5,9.1,4.5,4.5,9.4,7.7,2.4,9.3,2,Reels,6.5,2,6.9,7.2,I mainly use YouTube for learning.,0.87,0.01,Calm,Low,21.4,3.7,22.2
P0274,19,Male,Freelancer,9.9,4.4,53,14,5.2,102.1,9.8,10.1,5.9,4.4,4.1,5.8,9.8,6.9,7.9,2.1,9.5,7,1.7,4,7,9.5,8.7,News,3,9.3,3.9,3.5,I spend hours watching shorts without realizing time.,0.93,0.95,Stressed,High,88.2,8.2,85.2
P0275,31,Other,Creator,6.3,3.8,12,146,2.2,70,4.5,6.3,7.6,6.2,2.4,1.4,3,4.3,6.1,3.4,6.6,3.7,3.5,5.8,6.8,3.5,5,Memes,6.5,6,2.4,1,I use social media for entertainment daily.,0.14,0.76,Excited,Moderate,59.4,4.8,53.1
P0276,24,Male,Employee,3.8,0.4,8,115,4.1,70.4,2.5,4.1,9.1,3.9,9.8,4.7,2.7,3.4,2.9,6.6,8.7,6.7,6.6,7.1,2.9,8.1,10,Shorts,4.5,2.9,4.8,5.4,I mainly use YouTube for learning.,0.47,0.54,Neutral,Low,30.6,3.3,35.1
P0277,25,Male,College Student,1.5,1,40,11,3,43.6,1.3,1.5,3.3,6,3.1,7.5,9.6,3,1.2,8.3,5.9,4.2,8.1,8.2,2.2,8.8,5.5,Memes,2.6,1.3,1.7,3.8,I mainly use YouTube for learning.,-0.1,0.3,Neutral,Low,15,1.8,27
P0278,28,Female,Student,4.5,1.1,60,117,6.5,91.7,4.8,6.1,3.9,5.7,6.3,8.3,4.9,8.7,4.2,6.3,2.1,4.8,6,6.8,6.3,8.5,6.8,Shorts,2.1,4.9,8.4,6,I occasionally lose track of time online.,-0.63,0.98,Neutral,Moderate,52.6,5,64.9
P0279,30,Male,Creator,5.1,2,10,58,1.1,60.3,6.2,6.3,5.5,9.8,5.8,8.9,2.9,3.3,6,3.7,8.6,10,4,6.5,4.7,7.2,7.6,Gaming,1.4,7.1,1.4,3.9,I use social media for entertainment daily.,-0.36,0.89,Neutral,Moderate,60.6,4.6,63.7
P0280,35,Female,College Student,3.4,2.8,12,43,9.2,102.2,1.9,3.5,4.6,8.3,2.7,4.4,9.4,9.7,2.3,7.5,2.7,8.9,7.6,7.3,2.1,7.3,7.7,Educational,2.6,2.1,7.6,9.3,I rarely spend too much time online.,0.73,0.59,Neutral,Low,23.8,4.2,39
P0281,19,Other,Student,9.7,0.7,6,75,7.7,115.1,8.5,9.5,4.5,4.8,3,5.8,8.5,7.1,8.8,1.4,4.8,8.3,1.1,4.2,9.5,4.8,8.8,Gaming,7,8.7,8.6,2.9,I spend hours watching shorts without realizing time.,0.97,0.38,Anxious,High,90,8.7,86.8
P0282,16,Male,Freelancer,2.3,1.5,34,146,1.8,97.1,1.2,1.8,9,3.5,5.8,4.5,7.1,2.4,2.6,8.3,2.2,3.1,6.8,7.8,1.6,7.7,8.7,Reels,3.6,2.6,2.1,3.2,I rarely spend too much time online.,-0.88,0.23,Neutral,Low,19.6,2,25
P0283,24,Male,Creator,4.6,3,11,61,6.2,37.8,5.4,7.4,4.2,7.7,1.7,9.7,9.5,3.3,6.3,3.8,5.8,1.3,3.8,6.7,6.1,9.8,6.6,Gaming,8,6.5,8.3,4.4,I sometimes get distracted while studying.,-0.09,0.67,Excited,Moderate,63.4,5.6,67
P0284,31,Female,Freelancer,4.9,1.4,26,68,9.5,100.3,5.3,5.9,4,9.3,1.9,8.5,7.4,4.6,6.6,4.2,3.7,6.6,2.6,6.5,6.7,7.3,9.4,Educational,4.3,6.8,1,7,I use social media for entertainment daily.,0.88,0.86,Neutral,Moderate,62.6,6.6,66.6
P0285,32,Male,Student,6.1,5.2,49,137,9.6,50.4,6.3,6.6,5.8,2.4,6.5,8,7.5,2.7,4.3,6.1,5,4.1,6.4,6,4.2,2.1,3.4,Educational,7.5,6.1,3.7,6.1,I occasionally lose track of time online.,-0.92,0.99,Neutral,Moderate,55,6.6,57.3
P0286,31,Male,Student,9.1,2.2,39,112,3.2,50.2,9.9,11.2,6.7,6.6,4,1.1,4.6,1.6,9.1,0.1,2.1,7.5,1.8,4.5,7.9,5.7,3.6,Shorts,3.2,10,8.4,3,I feel anxious without checking my notifications.,-0.27,0.61,Stressed,High,96.2,7.8,76.2
P0287,27,Male,Student,8.2,7.5,29,108,2.2,67.9,8.7,9,2.7,2.9,2.6,7.9,2.5,1.6,9.5,0,9.1,5.8,0,4.9,7.2,8.4,7.8,Shorts,6,10,2.9,7.9,I feel mentally tired after social media usage.,0.39,0.16,Anxious,High,88.8,7.1,80.8
P0288,23,Other,Student,4.8,3.1,18,148,2.2,20.5,6.9,7.8,6.9,1.8,4.4,7.2,5.9,3.4,5.5,4.1,9.3,6.2,5.2,6.6,5.4,7,6.7,Educational,9.3,7,1.4,5.2,I spend a moderate amount of time on social media.,0.81,0.95,Neutral,Moderate,65.2,4.8,64.8
P0289,17,Other,Student,3.3,0.5,12,104,2.6,86.6,2.4,3.7,6,5.6,6.9,5.6,8.4,9.2,1.2,9.1,5.8,2.3,7.9,7.3,2.2,6,5.6,Memes,4.6,2.7,7.4,5.4,I can control my screen usage effectively.,0.09,0.11,Neutral,Low,24.4,2.4,40.5
P0290,33,Male,Student,5.8,5.4,57,45,8.9,82.8,6.7,7.6,3.7,2.1,1.1,6.2,10,3.2,6.7,3.4,7.4,6.7,4.2,6.1,4.4,1.2,4.2,Gaming,3.8,6.9,4.6,4.4,I spend a moderate amount of time on social media.,-0.82,0.68,Excited,Moderate,64.6,7,62.6
P0291,18,Female,College Student,1.8,0.1,55,19,6.6,116.4,2.8,4.7,7.6,6.5,4,1.6,6.8,5.9,2.4,7.9,5.4,6.6,8.6,8.1,2.5,8.4,2.4,Shorts,6,3.5,8,2.8,I mainly use YouTube for learning.,-0.95,0.19,Calm,Low,31.8,3.4,35.1
P0292,24,Other,Freelancer,2.9,0.5,33,106,7.5,109.2,1.2,1.7,7.5,4.3,2.1,8.5,3.8,9.5,1.8,7.3,5.2,2.9,8.8,7.5,1.1,6.9,5.7,Gaming,8.6,1.9,3.9,9.5,I rarely spend too much time online.,0.74,0.91,Calm,Low,15.4,3.4,38.5
P0293,20,Male,Student,1.2,0.6,13,87,7.7,94.6,3,4.6,6.6,8.9,2,6,5.3,2.4,2.2,7.3,7,3.8,8.4,8.4,2.8,4.5,5.6,Educational,1.7,3.4,8.9,3.4,I mainly use YouTube for learning.,0.67,0.32,Calm,Low,32,3.5,36.6
P0294,28,Female,Employee,5.8,5.4,47,63,2.3,57.3,6.3,7.1,9.7,3.8,7,9.7,5,4.4,4.4,5.2,8.2,7.6,6.2,6.1,6.6,1.1,3.8,Reels,9.3,6.2,4.5,4.6,I use social media for entertainment daily.,0.57,0.49,Excited,Moderate,61.2,4.7,67
P0295,17,Female,Employee,3.7,2.6,48,68,8.7,15.2,2.7,3.9,9.2,4,1,1.2,7.7,8.8,2.5,7,5.2,3.5,6.7,7.2,1.1,4.1,3.9,Lifestyle,2.3,2.7,6.4,7.2,I mainly use YouTube for learning.,0.6,0.89,Calm,Low,25.8,4.4,34.4
P0296,34,Male,Student,8.1,2.6,37,81,3.5,88.8,8.8,9.7,1.1,7.2,9.3,5.7,5.7,4.9,9.5,0,7.1,6.4,0.1,5,8.2,8.2,5.6,Educational,8.5,10,5.6,4.9,I feel anxious without checking my notifications.,0.89,0.91,Restless,High,92.4,7.5,85.2
P0297,26,Other,Creator,1.3,1.3,5,76,9.4,19.9,2,3.9,2.9,9.9,8.3,6,2.3,6.8,1.1,9,8,1.8,8.5,8.3,2.1,1.8,8,Lifestyle,1.7,2.1,4.7,6.7,I use social media casually.,-0.56,0.67,Neutral,Low,22.4,3.5,36
P0298,34,Other,College Student,6.8,0.3,5,136,8.9,20.6,6.8,7.3,1.9,2.6,7.1,5.7,7.1,1.6,6.3,4.3,1.3,8.8,2.9,5.6,5.5,9.2,2.2,Reels,7.8,7.5,7.2,2.3,I use social media for entertainment daily.,0.26,0.09,Neutral,Moderate,66.8,7.2,61.1
P0299,21,Other,Student,7.5,7.1,26,73,9.3,19.2,5.4,7,2.2,2.4,2.1,2.1,6.4,1.8,4.7,5,2.7,7.9,5.5,5.2,5.4,9.5,1.6,Lifestyle,5.6,5.8,9.4,2.2,I spend a moderate amount of time on social media.,-0.21,0.21,Excited,Moderate,56.6,6.7,48.3
P0300,33,Other,College Student,3.9,0.3,32,105,8.2,71.7,2.4,2.7,9.3,1.1,1.5,1.6,3.4,3.2,2.2,8.5,1.8,9.2,8.5,7,2.9,2.2,9.6,Lifestyle,2.3,2.9,6.5,8.9,I rarely spend too much time online.,0,0.25,Calm,Low,26.2,4.2,26.8
P0301,25,Female,Creator,7.7,7.2,58,75,7,63.4,4,4.8,6.4,8.4,4.2,8.1,5.7,1.3,4.6,5.7,1.1,3.3,5.1,5.2,4.6,5.6,9.1,Lifestyle,5.7,4.5,8.1,7.1,I sometimes get distracted while studying.,0.77,0.74,Neutral,Moderate,45,5.8,47.9
P0302,33,Male,Freelancer,9.1,0.8,24,41,6.7,67.4,8.9,9.8,3.6,9.2,5.9,2.3,4.3,7.2,7.4,2.5,7.3,3.8,2.4,4.5,9.5,3.5,2,News,5.7,8.7,6.9,4.3,I feel anxious without checking my notifications.,-0.61,0.83,Anxious,High,88.6,8,80.7
P0303,29,Male,College Student,3,0.4,56,118,1.3,52.7,3,3.9,7.3,9.1,6,4.3,3.6,5.4,1.7,8.3,4.2,1.5,8,7.5,2.5,7.8,9.6,Memes,8.1,3,1.8,2,I mainly use YouTube for learning.,0.77,0.52,Calm,Low,28.2,2.2,35.7
